id,name,area,category,priority,address,latitude,longitude,day_candidate,stay_minutes,birthday_score,heat_risk,rain_ok,memo,source_url,google_maps_search
SS001,出雲大社,出雲,神社,S,島根県出雲市大社町杵築東195,,,Day3,90,5,中,一部可,旅のハイライト候補。午前訪問が無難,https://izumooyashiro.or.jp/,出雲大社
SS002,稲佐の浜,出雲,絶景,A,島根県出雲市大社町杵築北,,,Day3,30,5,高,不可,夕景候補。暑さと日差しに注意,,稲佐の浜
SS003,玉造温泉,玉造,温泉,S,島根県松江市玉湯町玉造,,,Day4,120,5,低,可,宿泊地の有力候補。誕生日演出と相性が良い,,玉造温泉
SS004,嚴島神社,宮島,神社,S,広島県廿日市市宮島町1-1,,,Day2,75,5,中,一部可,混雑回避のため朝寄りが良い,https://www.itsukushimajinja.jp/,嚴島神社
SS005,宮島 表参道商店街,宮島,街歩き,A,広島県廿日市市宮島町,,,Day2,60,4,中,可,食べ歩きと休憩を入れやすい,,宮島 表参道商店街
SS006,宍道湖夕日スポット,松江,絶景,S,島根県松江市袖師町,,,Day3,45,5,中,不可,天気が合えば誕生日向けの主力候補,,宍道湖夕日スポット
SS007,島根県立美術館,松江,美術館,A,島根県松江市袖師町1-5,,,Day4,90,4,低,可,猛暑や雨天の逃げ先として強い,https://www.shimane-art-museum.jp/,島根県立美術館
SS008,松江城,松江,城,A,島根県松江市殿町1-5,,,Day4,75,4,中,一部可,周辺散策とセットで調整,,松江城
SS009,ぐるっと松江堀川めぐり,松江,体験,A,島根県松江市黒田町507-1,,,Day4,50,4,低,可,暑さ回避しながら景観を楽しめる,,ぐるっと松江堀川めぐり
SS010,広島平和記念公園,広島市内,公園,A,広島県広島市中区中島町1,,,Day1,60,3,高,一部可,朝か夕方寄りに回す,https://hpmmuseum.jp/,広島平和記念公園
SS011,原爆ドーム,広島市内,史跡,A,広島県広島市中区大手町1-10,,,Day1,30,3,高,一部可,平和記念公園とセットで短時間見学,https://hpmmuseum.jp/modules/exhibition/index.php?action=PageView&page_id=16,原爆ドーム
SS012,尾道 千光寺公園,尾道,絶景,A,広島県尾道市西土堂町19-1,,,Day2,70,4,高,一部可,ロープウェイ利用で暑さ負荷を下げたい,,尾道 千光寺公園
SS013,猫の細道,尾道,街歩き,B,広島県尾道市東土堂町19-26付近,,,Day2,40,3,高,一部可,坂道と暑さに注意,,猫の細道
SS014,足立美術館,安来,美術館,S,島根県安来市古川町320,,,Day4,120,5,低,可,暑さを避けつつ特別感を出しやすい,https://www.adachi-museum.or.jp/,足立美術館
SS015,日御碕灯台,出雲,絶景,B,島根県出雲市大社町日御碕1478,,,Day3,35,4,高,不可,海沿いで日差しが強い,,日御碕灯台
SS016,日御碕神社,出雲,神社,B,島根県出雲市大社町日御碕455,,,Day3,40,3,中,一部可,出雲大社からの導線を確認したい,,日御碕神社
SS017,八重垣神社,松江,神社,B,島根県松江市佐草町227,,,Day4,45,4,中,一部可,縁結び文脈で誕生日旅行と相性あり,,八重垣神社
SS018,木綿街道,出雲,街歩き,B,島根県出雲市平田町841,,,Day3,60,3,中,一部可,町並み散策枠。暑さ次第で滞在短縮,,木綿街道
SS019,しまなみ海道,尾道,絶景,B,広島,,,Day2,120,4,高,不可,全線ではなく展望地点を絞る必要あり,,しまなみ海道
SS020,石見銀山,大田,史跡,C,島根県大田市大森町,,,未定,150,3,高,一部可,今回日程では優先度低めだが候補として保持,https://ginzan.city.ohda.lg.jp/,石見銀山
