Name,Address,Latitude,Longitude,Category,Priority,Day,Memo,Area,StayMinutes,BirthdayScore,HeatRisk,RainOK,SourceURL
出雲大社,島根県出雲市大社町杵築東195,,,神社,S,Day3,"優先度: S
エリア: 出雲
カテゴリ: 神社
滞在目安: 90分
誕生日向き: 5/5
暑さリスク: 中
雨天対応: 一部可
メモ: 旅のハイライト候補。午前訪問が無難",出雲,90,5,中,一部可,https://izumooyashiro.or.jp/
稲佐の浜,島根県出雲市大社町杵築北,,,絶景,A,Day3,"優先度: A
エリア: 出雲
カテゴリ: 絶景
滞在目安: 30分
誕生日向き: 5/5
暑さリスク: 高
雨天対応: 不可
メモ: 夕景候補。暑さと日差しに注意",出雲,30,5,高,不可,
玉造温泉,島根県松江市玉湯町玉造,,,温泉,S,Day4,"優先度: S
エリア: 玉造
カテゴリ: 温泉
滞在目安: 120分
誕生日向き: 5/5
暑さリスク: 低
雨天対応: 可
メモ: 宿泊地の有力候補。誕生日演出と相性が良い",玉造,120,5,低,可,
嚴島神社,広島県廿日市市宮島町1-1,,,神社,S,Day2,"優先度: S
エリア: 宮島
カテゴリ: 神社
滞在目安: 75分
誕生日向き: 5/5
暑さリスク: 中
雨天対応: 一部可
メモ: 混雑回避のため朝寄りが良い",宮島,75,5,中,一部可,https://www.itsukushimajinja.jp/
宮島 表参道商店街,広島県廿日市市宮島町,,,街歩き,A,Day2,"優先度: A
エリア: 宮島
カテゴリ: 街歩き
滞在目安: 60分
誕生日向き: 4/5
暑さリスク: 中
雨天対応: 可
メモ: 食べ歩きと休憩を入れやすい",宮島,60,4,中,可,
宍道湖夕日スポット,島根県松江市袖師町,,,絶景,S,Day3,"優先度: S
エリア: 松江
カテゴリ: 絶景
滞在目安: 45分
誕生日向き: 5/5
暑さリスク: 中
雨天対応: 不可
メモ: 天気が合えば誕生日向けの主力候補",松江,45,5,中,不可,
島根県立美術館,島根県松江市袖師町1-5,,,美術館,A,Day4,"優先度: A
エリア: 松江
カテゴリ: 美術館
滞在目安: 90分
誕生日向き: 4/5
暑さリスク: 低
雨天対応: 可
メモ: 猛暑や雨天の逃げ先として強い",松江,90,4,低,可,https://www.shimane-art-museum.jp/
松江城,島根県松江市殿町1-5,,,城,A,Day4,"優先度: A
エリア: 松江
カテゴリ: 城
滞在目安: 75分
誕生日向き: 4/5
暑さリスク: 中
雨天対応: 一部可
メモ: 周辺散策とセットで調整",松江,75,4,中,一部可,
ぐるっと松江堀川めぐり,島根県松江市黒田町507-1,,,体験,A,Day4,"優先度: A
エリア: 松江
カテゴリ: 体験
滞在目安: 50分
誕生日向き: 4/5
暑さリスク: 低
雨天対応: 可
メモ: 暑さ回避しながら景観を楽しめる",松江,50,4,低,可,
広島平和記念公園,広島県広島市中区中島町1,,,公園,A,Day1,"優先度: A
エリア: 広島市内
カテゴリ: 公園
滞在目安: 60分
誕生日向き: 3/5
暑さリスク: 高
雨天対応: 一部可
メモ: 朝か夕方寄りに回す",広島市内,60,3,高,一部可,https://hpmmuseum.jp/
原爆ドーム,広島県広島市中区大手町1-10,,,史跡,A,Day1,"優先度: A
エリア: 広島市内
カテゴリ: 史跡
滞在目安: 30分
誕生日向き: 3/5
暑さリスク: 高
雨天対応: 一部可
メモ: 平和記念公園とセットで短時間見学",広島市内,30,3,高,一部可,https://hpmmuseum.jp/modules/exhibition/index.php?action=PageView&page_id=16
尾道 千光寺公園,広島県尾道市西土堂町19-1,,,絶景,A,Day2,"優先度: A
エリア: 尾道
カテゴリ: 絶景
滞在目安: 70分
誕生日向き: 4/5
暑さリスク: 高
雨天対応: 一部可
メモ: ロープウェイ利用で暑さ負荷を下げたい",尾道,70,4,高,一部可,
猫の細道,広島県尾道市東土堂町19-26付近,,,街歩き,B,Day2,"優先度: B
エリア: 尾道
カテゴリ: 街歩き
滞在目安: 40分
誕生日向き: 3/5
暑さリスク: 高
雨天対応: 一部可
メモ: 坂道と暑さに注意",尾道,40,3,高,一部可,
足立美術館,島根県安来市古川町320,,,美術館,S,Day4,"優先度: S
エリア: 安来
カテゴリ: 美術館
滞在目安: 120分
誕生日向き: 5/5
暑さリスク: 低
雨天対応: 可
メモ: 暑さを避けつつ特別感を出しやすい",安来,120,5,低,可,https://www.adachi-museum.or.jp/
日御碕灯台,島根県出雲市大社町日御碕1478,,,絶景,B,Day3,"優先度: B
エリア: 出雲
カテゴリ: 絶景
滞在目安: 35分
誕生日向き: 4/5
暑さリスク: 高
雨天対応: 不可
メモ: 海沿いで日差しが強い",出雲,35,4,高,不可,
日御碕神社,島根県出雲市大社町日御碕455,,,神社,B,Day3,"優先度: B
エリア: 出雲
カテゴリ: 神社
滞在目安: 40分
誕生日向き: 3/5
暑さリスク: 中
雨天対応: 一部可
メモ: 出雲大社からの導線を確認したい",出雲,40,3,中,一部可,
八重垣神社,島根県松江市佐草町227,,,神社,B,Day4,"優先度: B
エリア: 松江
カテゴリ: 神社
滞在目安: 45分
誕生日向き: 4/5
暑さリスク: 中
雨天対応: 一部可
メモ: 縁結び文脈で誕生日旅行と相性あり",松江,45,4,中,一部可,
木綿街道,島根県出雲市平田町841,,,街歩き,B,Day3,"優先度: B
エリア: 出雲
カテゴリ: 街歩き
滞在目安: 60分
誕生日向き: 3/5
暑さリスク: 中
雨天対応: 一部可
メモ: 町並み散策枠。暑さ次第で滞在短縮",出雲,60,3,中,一部可,
しまなみ海道,広島,,,絶景,B,Day2,"優先度: B
エリア: 尾道
カテゴリ: 絶景
滞在目安: 120分
誕生日向き: 4/5
暑さリスク: 高
雨天対応: 不可
メモ: 全線ではなく展望地点を絞る必要あり",尾道,120,4,高,不可,
石見銀山,島根県大田市大森町,,,史跡,C,未定,"優先度: C
エリア: 大田
カテゴリ: 史跡
滞在目安: 150分
誕生日向き: 3/5
暑さリスク: 高
雨天対応: 一部可
メモ: 今回日程では優先度低めだが候補として保持",大田,150,3,高,一部可,https://ginzan.city.ohda.lg.jp/
